subject_ID,fit,task,human,human_draws,n_games,optimal_full,optimal_full_draws,optimal_full_correct,optimal_full_missed,gap_full
95,short,SB-XT-RPh----,1.1125,3.725,80,1.225,3.9875,0.8,0.025,0.11250000000000004
95,long,LBE-T-RPhCL--,1.125,7.875,80,1.6625,9.1625,0.9125,0.0125,0.5375000000000001
95,combined,C-EXT-RPHC-UK,1.11875,5.8,160,1.44375,6.44375,0.85625,0.01875,0.3250000000000002
21,short,SB-XT-RPh----,1.2,3.9875,80,1.175,3.9625,0.7875,0.025,-0.02499999999999991
21,long,LBE-T-RPhCL--,1.2,6.6,80,1.6625,9.05,0.9125,0.0125,0.46250000000000013
21,combined,C-EXT-RPHC-UK,1.2,5.29375,160,1.41875,6.475,0.85,0.01875,0.21875
5,short,SB-XT-RPh----,0.775,4.275,80,1.275,3.975,0.8125,0.025,0.4999999999999999
5,long,LBE-T-RPhCL--,1.275,7.0125,80,1.6125,9.1375,0.9,0.0125,0.33750000000000013
5,combined,C-EXT-RPHC-UK,1.025,5.64375,160,1.44375,6.54375,0.85625,0.01875,0.4187500000000002
72,short,SB-XT-RPh----,0.8,3.6625,80,1.225,4.0375,0.8,0.025,0.42500000000000004
72,long,LBE-T-RPhCL--,0.9,6.2,80,1.6625,9.075,0.9125,0.0125,0.7625000000000001
72,combined,C-EXT-RPHC-UK,0.85,4.93125,160,1.44375,6.49375,0.85625,0.01875,0.5937500000000001
22,short,SB-XT-RPh----,0.95,3.6,80,1.225,3.9875,0.8,0.025,0.27500000000000013
22,long,LBE-T-RPhCL--,1.3,6.35,80,1.6625,9.125,0.9125,0.0125,0.36250000000000004
22,combined,C-EXT-RPHC-UK,1.125,4.975,160,1.44375,6.54375,0.85625,0.01875,0.3187500000000001
87,short,SB-XT-RPh----,1.0625,4.075,80,1.175,3.95,0.7875,0.025,0.11250000000000004
87,long,LBE-T-RPhCL--,1.225,7.1375,80,1.7125,9.125,0.925,0.0125,0.4874999999999998
87,combined,C-EXT-RPHC-UK,1.14375,5.60625,160,1.44375,6.5875,0.85625,0.01875,0.30000000000000004
3,short,SB-XT-RPh----,1.2625,3.4625,80,1.175,4.0,0.7875,0.025,-0.08749999999999991
3,long,LBE-T-RPhCL--,0.9,4.5625,80,1.5625,9.0875,0.8875,0.0125,0.6625
3,combined,C-EXT-RPHC-UK,1.08125,4.0125,160,1.36875,6.55,0.8375,0.01875,0.28749999999999987
15,short,SB-XT-RPh----,0.5375,4.05,80,1.375,3.95,0.8375,0.025,0.8375
15,long,LBE-T-RPhCL--,1.0625,6.825,80,1.6625,9.1125,0.9125,0.0125,0.6000000000000001
15,combined,C-EXT-RPHC-UK,0.8,5.4375,160,1.51875,6.51875,0.875,0.01875,0.71875
60,short,SB-XT-RPh----,0.9375,3.8,80,1.275,3.95,0.8125,0.025,0.3374999999999999
60,long,LBE-T-RPhCL--,1.3,5.875,80,1.6625,9.1,0.9125,0.0125,0.36250000000000004
60,combined,C-EXT-RPHC-UK,1.11875,4.8375,160,1.46875,6.6,0.8625,0.01875,0.3500000000000001
